col,GSE,Basename,NCBI_scientific_name,taxid,Tissue,Sex,Family,Order,Species,SuccessRate,common_names
GSM4412025,GSE147003,GSM4412025,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.765818395,sheep
GSM4412026,GSE147003,GSM4412026,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.797668587,sheep
GSM4412027,GSE147003,GSM4412027,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.759256295,sheep
GSM4412028,GSE147003,GSM4412028,Ovis aries,9940,Blood,Male,Bovidae,Artiodactyla,Ovis aries,0.749813274,sheep
GSM4412029,GSE147003,GSM4412029,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.770433205,sheep
GSM4412030,GSE147003,GSM4412030,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.771366837,sheep
GSM4412031,GSE147003,GSM4412031,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.755548442,sheep
GSM4412032,GSE147003,GSM4412032,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.781930218,sheep
GSM4412033,GSE147003,GSM4412033,Ovis aries,9940,Blood,Male,Bovidae,Artiodactyla,Ovis aries,0.802416773,sheep
GSM4412034,GSE147003,GSM4412034,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.770299829,sheep
GSM4412035,GSE147003,GSM4412035,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.773981007,sheep
GSM4412036,GSE147003,GSM4412036,Ovis aries,9940,Blood,Male,Bovidae,Artiodactyla,Ovis aries,0.752294067,sheep
GSM4412037,GSE147003,GSM4412037,Ovis aries,9940,Blood,Male,Bovidae,Artiodactyla,Ovis aries,0.768992744,sheep
GSM4412038,GSE147003,GSM4412038,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.790332907,sheep
GSM4412039,GSE147003,GSM4412039,Ovis aries,9940,Blood,Male,Bovidae,Artiodactyla,Ovis aries,0.796895006,sheep
GSM4412040,GSE147003,GSM4412040,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.783984208,sheep
GSM4412041,GSE147003,GSM4412041,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.789239223,sheep
GSM4412042,GSE147003,GSM4412042,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.768485915,sheep
GSM4412043,GSE147003,GSM4412043,Ovis aries,9940,Blood,Male,Bovidae,Artiodactyla,Ovis aries,0.770833333,sheep
GSM4412044,GSE147003,GSM4412044,Ovis aries,9940,Blood,Male,Bovidae,Artiodactyla,Ovis aries,0.788252241,sheep
GSM4412045,GSE147003,GSM4412045,Ovis aries,9940,Blood,Male,Bovidae,Artiodactyla,Ovis aries,0.797508536,sheep
GSM4412046,GSE147003,GSM4412046,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.782703799,sheep
GSM4412047,GSE147003,GSM4412047,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.772060393,sheep
GSM4412048,GSE147003,GSM4412048,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.785771447,sheep
GSM4412049,GSE147003,GSM4412049,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.772113743,sheep
GSM4412050,GSE147003,GSM4412050,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.783344003,sheep
GSM4412051,GSE147003,GSM4412051,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.783370679,sheep
GSM4412052,GSE147003,GSM4412052,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.779716176,sheep
GSM4412053,GSE147003,GSM4412053,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.784517712,sheep
GSM4412054,GSE147003,GSM4412054,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.787318609,sheep
GSM4412055,GSE147003,GSM4412055,Ovis aries,9940,Blood,Male,Bovidae,Artiodactyla,Ovis aries,0.795641272,sheep
GSM4412056,GSE147003,GSM4412056,Ovis aries,9940,Blood,Male,Bovidae,Artiodactyla,Ovis aries,0.785558045,sheep
GSM4412057,GSE147003,GSM4412057,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.77040653,sheep
GSM4412058,GSE147003,GSM4412058,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.805457746,sheep
GSM4412059,GSE147003,GSM4412059,Ovis aries,9940,Blood,Male,Bovidae,Artiodactyla,Ovis aries,0.784411012,sheep
GSM4412060,GSE147003,GSM4412060,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.794627614,sheep
GSM4412061,GSE147003,GSM4412061,Ovis aries,9940,Blood,Male,Bovidae,Artiodactyla,Ovis aries,0.777502134,sheep
GSM4412062,GSE147003,GSM4412062,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.767578959,sheep
GSM4412063,GSE147003,GSM4412063,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.786331626,sheep
GSM4412064,GSE147003,GSM4412064,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.753841229,sheep
GSM4412065,GSE147003,GSM4412065,Ovis aries,9940,Blood,Male,Bovidae,Artiodactyla,Ovis aries,0.755975245,sheep
GSM4412066,GSE147003,GSM4412066,Ovis aries,9940,Blood,Male,Bovidae,Artiodactyla,Ovis aries,0.752187367,sheep
GSM4412067,GSE147003,GSM4412067,Ovis aries,9940,Blood,Male,Bovidae,Artiodactyla,Ovis aries,0.768325864,sheep
GSM4412068,GSE147003,GSM4412068,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.778088988,sheep
GSM4412069,GSE147003,GSM4412069,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.780569782,sheep
GSM4412070,GSE147003,GSM4412070,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.754854887,sheep
GSM4412071,GSE147003,GSM4412071,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.770966709,sheep
GSM4412072,GSE147003,GSM4412072,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.77630175,sheep
GSM4412073,GSE147003,GSM4412073,Ovis aries,9940,Blood,Male,Bovidae,Artiodactyla,Ovis aries,0.768752668,sheep
GSM4412074,GSE147003,GSM4412074,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.797001707,sheep
GSM4412075,GSE147003,GSM4412075,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.788892446,sheep
GSM4412076,GSE147003,GSM4412076,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.824503841,sheep
GSM4412077,GSE147003,GSM4412077,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.775368118,sheep
GSM4412078,GSE147003,GSM4412078,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.805110969,sheep
GSM4412079,GSE147003,GSM4412079,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.785051216,sheep
GSM4412080,GSE147003,GSM4412080,Ovis aries,9940,Blood,Male,Bovidae,Artiodactyla,Ovis aries,0.787051857,sheep
GSM4412081,GSE147003,GSM4412081,Ovis aries,9940,Blood,Male,Bovidae,Artiodactyla,Ovis aries,0.784224285,sheep
GSM4412082,GSE147003,GSM4412082,Ovis aries,9940,Blood,Male,Bovidae,Artiodactyla,Ovis aries,0.815247546,sheep
GSM4412083,GSE147003,GSM4412083,Ovis aries,9940,Blood,Male,Bovidae,Artiodactyla,Ovis aries,0.782570423,sheep
GSM4412084,GSE147003,GSM4412084,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.80860542,sheep
GSM4412085,GSE147003,GSM4412085,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.786224925,sheep
GSM4412086,GSE147003,GSM4412086,Ovis aries,9940,Blood,Male,Bovidae,Artiodactyla,Ovis aries,0.826451131,sheep
GSM4412087,GSE147003,GSM4412087,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.815274221,sheep
GSM4412088,GSE147003,GSM4412088,Ovis aries,9940,Blood,Male,Bovidae,Artiodactyla,Ovis aries,0.81183312,sheep
GSM4412089,GSE147003,GSM4412089,Ovis aries,9940,Blood,Male,Bovidae,Artiodactyla,Ovis aries,0.805644473,sheep
GSM4412090,GSE147003,GSM4412090,Ovis aries,9940,Blood,Male,Bovidae,Artiodactyla,Ovis aries,0.799429151,sheep
GSM4412091,GSE147003,GSM4412091,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.823303457,sheep
GSM4412092,GSE147003,GSM4412092,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.82506402,sheep
GSM4412093,GSE147003,GSM4412093,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.799135723,sheep
GSM4412094,GSE147003,GSM4412094,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.8289586,sheep
GSM4412095,GSE147003,GSM4412095,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.790412932,sheep
GSM4412096,GSE147003,GSM4412096,Ovis aries,9940,Blood,Male,Bovidae,Artiodactyla,Ovis aries,0.792120145,sheep
GSM4412097,GSE147003,GSM4412097,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.800736236,sheep
GSM4412098,GSE147003,GSM4412098,Ovis aries,9940,Blood,Male,Bovidae,Artiodactyla,Ovis aries,0.805404396,sheep
GSM4412099,GSE147003,GSM4412099,Ovis aries,9940,Blood,Male,Bovidae,Artiodactyla,Ovis aries,0.789612676,sheep
GSM4412100,GSE147003,GSM4412100,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.802256722,sheep
GSM4412101,GSE147003,GSM4412101,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.78886577,sheep
GSM4412102,GSE147003,GSM4412102,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.797108408,sheep
GSM4412103,GSE147003,GSM4412103,Ovis aries,9940,Blood,Male,Bovidae,Artiodactyla,Ovis aries,0.803537132,sheep
GSM4412104,GSE147003,GSM4412104,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.785237943,sheep
GSM4412105,GSE147003,GSM4412105,Ovis aries,9940,Blood,Male,Bovidae,Artiodactyla,Ovis aries,0.806284678,sheep
GSM4412106,GSE147003,GSM4412106,Ovis aries,9940,Blood,Male,Bovidae,Artiodactyla,Ovis aries,0.818128468,sheep
GSM4412107,GSE147003,GSM4412107,Ovis aries,9940,Blood,Male,Bovidae,Artiodactyla,Ovis aries,0.788012164,sheep
GSM4412108,GSE147003,GSM4412108,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.806738156,sheep
GSM4412109,GSE147003,GSM4412109,Ovis aries,9940,Blood,Male,Bovidae,Artiodactyla,Ovis aries,0.762350619,sheep
GSM4412110,GSE147003,GSM4412110,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.757735809,sheep
GSM4412111,GSE147003,GSM4412111,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.786438327,sheep
GSM4412112,GSE147003,GSM4412112,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.788625694,sheep
GSM4412113,GSE147003,GSM4412113,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.773420828,sheep
GSM4412114,GSE147003,GSM4412114,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.7696863,sheep
GSM4412115,GSE147003,GSM4412115,Ovis aries,9940,Blood,Male,Bovidae,Artiodactyla,Ovis aries,0.788252241,sheep
GSM4412116,GSE147003,GSM4412116,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.801803244,sheep
GSM4412117,GSE147003,GSM4412117,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.788065514,sheep
GSM4412118,GSE147003,GSM4412118,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.76256402,sheep
GSM4412119,GSE147003,GSM4412119,Ovis aries,9940,Blood,Male,Bovidae,Artiodactyla,Ovis aries,0.770086428,sheep
GSM4412120,GSE147003,GSM4412120,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.794280837,sheep
GSM4412121,GSE147003,GSM4412121,Ovis aries,9940,Blood,Male,Bovidae,Artiodactyla,Ovis aries,0.805591122,sheep
GSM4412122,GSE147003,GSM4412122,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.804310713,sheep
GSM4412123,GSE147003,GSM4412123,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.813406957,sheep
GSM4412124,GSE147003,GSM4412124,Ovis aries,9940,Blood,Male,Bovidae,Artiodactyla,Ovis aries,0.810979513,sheep
GSM4412125,GSE147003,GSM4412125,Ovis aries,9940,Blood,Male,Bovidae,Artiodactyla,Ovis aries,0.815034144,sheep
GSM4412126,GSE147003,GSM4412126,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.814260563,sheep
GSM4412127,GSE147003,GSM4412127,Ovis aries,9940,Blood,Male,Bovidae,Artiodactyla,Ovis aries,0.802790226,sheep
GSM4412128,GSE147003,GSM4412128,Ovis aries,9940,Blood,Male,Bovidae,Artiodactyla,Ovis aries,0.809805805,sheep
GSM4412129,GSE147003,GSM4412129,Ovis aries,9940,Blood,Male,Bovidae,Artiodactyla,Ovis aries,0.821302817,sheep
GSM4412130,GSE147003,GSM4412130,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.809672429,sheep
GSM4412131,GSE147003,GSM4412131,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.808018566,sheep
GSM4412132,GSE147003,GSM4412132,Ovis aries,9940,Blood,Male,Bovidae,Artiodactyla,Ovis aries,0.81121959,sheep
GSM4412133,GSE147003,GSM4412133,Ovis aries,9940,Blood,Male,Bovidae,Artiodactyla,Ovis aries,0.790439607,sheep
GSM4412134,GSE147003,GSM4412134,Ovis aries,9940,Blood,Male,Bovidae,Artiodactyla,Ovis aries,0.816474605,sheep
GSM4412135,GSE147003,GSM4412135,Ovis aries,9940,Blood,Male,Bovidae,Artiodactyla,Ovis aries,0.831225992,sheep
GSM4412136,GSE147003,GSM4412136,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.830585787,sheep
GSM4412137,GSE147003,GSM4412137,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.819915706,sheep
GSM4412138,GSE147003,GSM4412138,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.822316475,sheep
GSM4412139,GSE147003,GSM4412139,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.809485702,sheep
GSM4412140,GSE147003,GSM4412140,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.807298335,sheep
GSM4412141,GSE147003,GSM4412141,Ovis aries,9940,Blood,Male,Bovidae,Artiodactyla,Ovis aries,0.820769313,sheep
GSM4412142,GSE147003,GSM4412142,Ovis aries,9940,Blood,Male,Bovidae,Artiodactyla,Ovis aries,0.821996372,sheep
GSM4412143,GSE147003,GSM4412143,Ovis aries,9940,Blood,Male,Bovidae,Artiodactyla,Ovis aries,0.819142125,sheep
GSM4412144,GSE147003,GSM4412144,Ovis aries,9940,Blood,Male,Bovidae,Artiodactyla,Ovis aries,0.81978233,sheep
GSM4412145,GSE147003,GSM4412145,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.819328852,sheep
GSM4412146,GSE147003,GSM4412146,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.812339949,sheep
GSM4412147,GSE147003,GSM4412147,Ovis aries,9940,Blood,Male,Bovidae,Artiodactyla,Ovis aries,0.823997012,sheep
GSM4412148,GSE147003,GSM4412148,Ovis aries,9940,Blood,Male,Bovidae,Artiodactyla,Ovis aries,0.813993811,sheep
GSM4412149,GSE147003,GSM4412149,Ovis aries,9940,Blood,Male,Bovidae,Artiodactyla,Ovis aries,0.817568289,sheep
GSM4412150,GSE147003,GSM4412150,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.81972898,sheep
GSM4412151,GSE147003,GSM4412151,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.817514938,sheep
GSM4412152,GSE147003,GSM4412152,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.820956039,sheep
GSM4412153,GSE147003,GSM4412153,Ovis aries,9940,Blood,Male,Bovidae,Artiodactyla,Ovis aries,0.826584507,sheep
GSM4412154,GSE147003,GSM4412154,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.828371746,sheep
GSM4412155,GSE147003,GSM4412155,Ovis aries,9940,Blood,Male,Bovidae,Artiodactyla,Ovis aries,0.823863636,sheep
GSM4412156,GSE147003,GSM4412156,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.820795988,sheep
GSM4412157,GSE147003,GSM4412157,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.807138284,sheep
GSM4412158,GSE147003,GSM4412158,Ovis aries,9940,Blood,Male,Bovidae,Artiodactyla,Ovis aries,0.800149381,sheep
GSM4412159,GSE147003,GSM4412159,Ovis aries,9940,Blood,Male,Bovidae,Artiodactyla,Ovis aries,0.809779129,sheep
GSM4412160,GSE147003,GSM4412160,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.796841656,sheep
GSM4412161,GSE147003,GSM4412161,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.808231968,sheep
GSM4412162,GSE147003,GSM4412162,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.795187793,sheep
GSM4412163,GSE147003,GSM4412163,Ovis aries,9940,Blood,Male,Bovidae,Artiodactyla,Ovis aries,0.802816901,sheep
GSM4412164,GSE147003,GSM4412164,Ovis aries,9940,Blood,Male,Bovidae,Artiodactyla,Ovis aries,0.80332373,sheep
GSM4412165,GSE147003,GSM4412165,Ovis aries,9940,Blood,Male,Bovidae,Artiodactyla,Ovis aries,0.813486983,sheep
GSM4412166,GSE147003,GSM4412166,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.769339522,sheep
GSM4412167,GSE147003,GSM4412167,Ovis aries,9940,Blood,Male,Bovidae,Artiodactyla,Ovis aries,0.809352326,sheep
GSM4412168,GSE147003,GSM4412168,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.779929577,sheep
GSM4412169,GSE147003,GSM4412169,Ovis aries,9940,Blood,Male,Bovidae,Artiodactyla,Ovis aries,0.82172962,sheep
GSM4412170,GSE147003,GSM4412170,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.828211694,sheep
GSM4412171,GSE147003,GSM4412171,Ovis aries,9940,Blood,Male,Bovidae,Artiodactyla,Ovis aries,0.824770593,sheep
GSM4412172,GSE147003,GSM4412172,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.830719163,sheep
GSM4412173,GSE147003,GSM4412173,Ovis aries,9940,Blood,Male,Bovidae,Artiodactyla,Ovis aries,0.828318395,sheep
GSM4412174,GSE147003,GSM4412174,Ovis aries,9940,Blood,Male,Bovidae,Artiodactyla,Ovis aries,0.816901408,sheep
GSM4412175,GSE147003,GSM4412175,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.811192915,sheep
GSM4412176,GSE147003,GSM4412176,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.826931285,sheep
GSM4412177,GSE147003,GSM4412177,Ovis aries,9940,Blood,Male,Bovidae,Artiodactyla,Ovis aries,0.829172002,sheep
GSM4412178,GSE147003,GSM4412178,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.820929364,sheep
GSM4412179,GSE147003,GSM4412179,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.828718523,sheep
GSM4412180,GSE147003,GSM4412180,Ovis aries,9940,Blood,Male,Bovidae,Artiodactyla,Ovis aries,0.817568289,sheep
GSM4412181,GSE147003,GSM4412181,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.829065301,sheep
GSM4412182,GSE147003,GSM4412182,Ovis aries,9940,Blood,Male,Bovidae,Artiodactyla,Ovis aries,0.833039906,sheep
GSM4412183,GSE147003,GSM4412183,Ovis aries,9940,Blood,Male,Bovidae,Artiodactyla,Ovis aries,0.839201878,sheep
GSM4412184,GSE147003,GSM4412184,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.842509603,sheep
GSM4412185,GSE147003,GSM4412185,Ovis aries,9940,Blood,Male,Bovidae,Artiodactyla,Ovis aries,0.830479087,sheep
GSM4412186,GSE147003,GSM4412186,Ovis aries,9940,Blood,Male,Bovidae,Artiodactyla,Ovis aries,0.834026889,sheep
GSM4412187,GSE147003,GSM4412187,Ovis aries,9940,Blood,Male,Bovidae,Artiodactyla,Ovis aries,0.821596244,sheep
GSM4412188,GSE147003,GSM4412188,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.836507682,sheep
GSM4412189,GSE147003,GSM4412189,Ovis aries,9940,Blood,Male,Bovidae,Artiodactyla,Ovis aries,0.833253308,sheep
GSM4412190,GSE147003,GSM4412190,Ovis aries,9940,Blood,Male,Bovidae,Artiodactyla,Ovis aries,0.840642339,sheep
GSM4412191,GSE147003,GSM4412191,Ovis aries,9940,Blood,Female,Bovidae,Artiodactyla,Ovis aries,0.832559752,sheep
GSM4412192,GSE147003,GSM4412192,Ovis aries,9940,Blood,Male,Bovidae,Artiodactyla,Ovis aries,0.83352006,sheep
GSM5265475,GSE173330,GSM5265475,Delphinapterus leucas,9749,Blood,Male,Monodontidae,Artiodactyla,Delphinapterus leucas,0.797748613,beluga whale
GSM5265476,GSE173330,GSM5265476,Delphinapterus leucas,9749,Blood,Female,Monodontidae,Artiodactyla,Delphinapterus leucas,0.811139565,beluga whale
GSM5265477,GSE173330,GSM5265477,Delphinapterus leucas,9749,Blood,Male,Monodontidae,Artiodactyla,Delphinapterus leucas,0.806471404,beluga whale
GSM5265478,GSE173330,GSM5265478,Delphinapterus leucas,9749,Blood,Female,Monodontidae,Artiodactyla,Delphinapterus leucas,0.812126547,beluga whale
GSM5265479,GSE173330,GSM5265479,Delphinapterus leucas,9749,Blood,Male,Monodontidae,Artiodactyla,Delphinapterus leucas,0.807378361,beluga whale
GSM5265480,GSE173330,GSM5265480,Delphinapterus leucas,9749,Blood,Female,Monodontidae,Artiodactyla,Delphinapterus leucas,0.808338668,beluga whale
GSM5265481,GSE173330,GSM5265481,Delphinapterus leucas,9749,Blood,Male,Monodontidae,Artiodactyla,Delphinapterus leucas,0.791239863,beluga whale
GSM5265482,GSE173330,GSM5265482,Delphinapterus leucas,9749,Blood,Male,Monodontidae,Artiodactyla,Delphinapterus leucas,0.802816901,beluga whale
GSM5265483,GSE173330,GSM5265483,Delphinapterus leucas,9749,Blood,Male,Monodontidae,Artiodactyla,Delphinapterus leucas,0.807351686,beluga whale
GSM5265484,GSE173330,GSM5265484,Delphinapterus leucas,9749,Blood,Female,Monodontidae,Artiodactyla,Delphinapterus leucas,0.818768673,beluga whale
GSM5265525,GSE173330,GSM5265525,Delphinapterus leucas,9749,Blood,Male,Monodontidae,Artiodactyla,Delphinapterus leucas,0.813860435,beluga whale
GSM5265532,GSE173330,GSM5265532,Delphinapterus leucas,9749,Blood,Female,Monodontidae,Artiodactyla,Delphinapterus leucas,0.81650128,beluga whale
GSM5265539,GSE173330,GSM5265539,Delphinapterus leucas,9749,Blood,Male,Monodontidae,Artiodactyla,Delphinapterus leucas,0.826104353,beluga whale
GSM5265546,GSE173330,GSM5265546,Delphinapterus leucas,9749,Blood,Female,Monodontidae,Artiodactyla,Delphinapterus leucas,0.816688007,beluga whale
GSM5265552,GSE173330,GSM5265552,Delphinapterus leucas,9749,Blood,Female,Monodontidae,Artiodactyla,Delphinapterus leucas,0.816021127,beluga whale
GSM5265555,GSE173330,GSM5265555,Delphinapterus leucas,9749,Blood,Male,Monodontidae,Artiodactyla,Delphinapterus leucas,0.815354247,beluga whale
GSM5265556,GSE173330,GSM5265556,Delphinapterus leucas,9749,Blood,Female,Monodontidae,Artiodactyla,Delphinapterus leucas,0.809245625,beluga whale
GSM5265557,GSE173330,GSM5265557,Delphinapterus leucas,9749,Blood,Male,Monodontidae,Artiodactyla,Delphinapterus leucas,0.810632736,beluga whale
GSM5265558,GSE173330,GSM5265558,Delphinapterus leucas,9749,Blood,Female,Monodontidae,Artiodactyla,Delphinapterus leucas,0.809645753,beluga whale
GSM5265604,GSE173330,GSM5265604,Delphinapterus leucas,9749,Blood,Female,Monodontidae,Artiodactyla,Delphinapterus leucas,0.824450491,beluga whale
GSM5265605,GSE173330,GSM5265605,Delphinapterus leucas,9749,Blood,Female,Monodontidae,Artiodactyla,Delphinapterus leucas,0.818928724,beluga whale
GSM5265606,GSE173330,GSM5265606,Delphinapterus leucas,9749,Blood,Female,Monodontidae,Artiodactyla,Delphinapterus leucas,0.838428297,beluga whale
GSM5265634,GSE173330,GSM5265634,Delphinapterus leucas,9749,Blood,Male,Monodontidae,Artiodactyla,Delphinapterus leucas,0.816181178,beluga whale
GSM5265641,GSE173330,GSM5265641,Delphinapterus leucas,9749,Skin,Male,Monodontidae,Artiodactyla,Delphinapterus leucas,0.812206573,beluga whale
GSM5265642,GSE173330,GSM5265642,Delphinapterus leucas,9749,Skin,Female,Monodontidae,Artiodactyla,Delphinapterus leucas,0.780276355,beluga whale
GSM5265657,GSE173330,GSM5265657,Delphinapterus leucas,9749,Skin,Male,Monodontidae,Artiodactyla,Delphinapterus leucas,0.422721938,beluga whale
GSM5265658,GSE173330,GSM5265658,Delphinapterus leucas,9749,Skin,Female,Monodontidae,Artiodactyla,Delphinapterus leucas,0.818635297,beluga whale
GSM5265659,GSE173330,GSM5265659,Delphinapterus leucas,9749,Skin,Male,Monodontidae,Artiodactyla,Delphinapterus leucas,0.803377081,beluga whale
GSM5265660,GSE173330,GSM5265660,Delphinapterus leucas,9749,Skin,Female,Monodontidae,Artiodactyla,Delphinapterus leucas,0.802550149,beluga whale
GSM5265661,GSE173330,GSM5265661,Delphinapterus leucas,9749,Skin,Male,Monodontidae,Artiodactyla,Delphinapterus leucas,0.781876867,beluga whale
GSM5265663,GSE173330,GSM5265663,Delphinapterus leucas,9749,Skin,Male,Monodontidae,Artiodactyla,Delphinapterus leucas,0.434779129,beluga whale
